time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-04T23:14:32.780Z,35.7461667,-117.5781667,3.88,2.48,ml,42,55,0.07118,0.17,ci,ci38445519,2019-11-12T22:36:34.070Z,"16km W of Searles Valley, CA",earthquake,0.13,0.45,0.142,24,reviewed,ci,ci
2019-07-04T23:14:20.280Z,35.5928333,-117.5968333,5.59,1.88,ml,25,88,0.1099,0.13,ci,ci38445511,2019-11-12T21:49:25.232Z,"8km ESE of Ridgecrest, CA",earthquake,0.16,0.86,0.192,14,reviewed,ci,ci
2019-07-04T23:13:06.874Z,64.944,-147.3706,0,1.3,ml,,,,0.58,ak,ak0198ic6z37,2019-07-24T19:02:23.258Z,"17km NNE of Badger, Alaska",explosion,,0,,,reviewed,ak,ak
2019-07-04T23:13:05.010Z,35.7461667,-117.5775,4.4,3.04,ml,28,66,0.07131,0.13,ci,ci38445503,2019-09-26T14:30:14.040Z,"16km W of Searles Valley, CA",earthquake,0.15,0.41,0.098,24,reviewed,ci,ci
2019-07-04T23:12:40.400Z,35.6731667,-117.4713333,9.01,3.53,ml,50,38,0.0868,0.14,ci,ci38445495,2019-09-26T14:30:14.040Z,"12km SSW of Searles Valley, CA",earthquake,0.13,0.35,0.147,39,reviewed,ci,ci
2019-07-04T23:10:47.920Z,35.6363333,-117.5471667,8.61,1.55,ml,23,80,0.08524,0.18,ci,ci37237548,2019-11-12T21:33:55.842Z,"12km E of Ridgecrest, CA",earthquake,0.24,0.93,0.079,12,reviewed,ci,ci
2019-07-04T23:10:30.680Z,35.705,-117.5583333,0.99,1.25,ml,8,129,0.115,0.17,ci,ci37237532,2019-11-12T21:10:13.477Z,"14km NE of Ridgecrest, CA",earthquake,0.62,0.54,0.255,4,reviewed,ci,ci
2019-07-04T23:10:25.150Z,35.6,-117.5516667,12.1,1.25,ml,23,53,0.07415,0.14,ci,ci38445487,2019-11-12T21:10:29.962Z,"12km ESE of Ridgecrest, CA",earthquake,0.22,0.6,0.08,9,reviewed,ci,ci
2019-07-04T23:09:57.880Z,35.5833333,-117.6361667,1.91,1.42,ml,16,81,0.1101,0.15,ci,ci37237540,2019-11-12T21:20:08.947Z,"6km SE of Ridgecrest, CA",earthquake,0.22,0.47,0.093,8,reviewed,ci,ci
2019-07-04T23:09:32.120Z,35.7571667,-117.5566667,6.64,1.99,ml,11,137,0.06722,0.12,ci,ci37237524,2019-11-12T20:54:46.750Z,"14km W of Searles Valley, CA",earthquake,0.3,0.76,0.025,3,reviewed,ci,ci
2019-07-04T23:09:28.660Z,35.6925,-117.4958333,-0.03,2.04,ml,26,63,0.1093,0.17,ci,ci37237516,2019-11-12T20:54:44.108Z,"12km SW of Searles Valley, CA",earthquake,0.21,0.49,0.094,10,reviewed,ci,ci
2019-07-04T23:09:07.980Z,35.6915,-117.4846667,0.87,1.87,ml,33,63,0.1064,0.17,ci,ci38445479,2019-11-08T16:30:25.710Z,"11km SW of Searles Valley, CA",earthquake,0.18,0.33,0.142,21,reviewed,ci,ci
